month,total
2020-01,3136.3
2020-02,3485.54
2020-03,1442.31
2020-04,10127
2020-06,4776.16
2020-07,2393.78
2020-08,3724.79
2020-09,8171.79
2020-10,6012.13
2020-11,2405.08
2020-12,3208.01
2021-01,4858.52
2021-02,3797.84
2021-03,4167.3
2021-04,4654
2021-05,1415.16
2021-06,6053.27
2021-07,3616.29
2021-09,4683.13
2021-10,3474.4
2021-11,1203.36
2021-12,4319.33
2022-01,2409.1
2022-02,2228.79
2022-03,6255.74
2022-04,3692.83
2022-05,1267.82
2022-06,2508.36
2022-07,7158.69
2022-08,6054.41
2022-09,2574.58
2022-10,7678.6
2022-11,3962.57
2022-12,1322.89
2023-01,1987.62
2023-02,4177.99
2023-03,4433.12
2023-04,3535.39
2023-05,2332.14
2023-06,8815.82
2023-08,2296.3
2023-09,3409.69
2023-10,1330.27
2023-11,5117.29
2023-12,3278.3
2024-01,13524.9
2024-02,3778.82
2024-03,6585.57
2024-04,7216.96
2024-05,7898.11
2024-06,7487.99
2024-07,1025.87
2024-08,5555.74
2024-09,4443.49
2024-10,4424.31
2024-11,4703.2
2024-12,6574.71
2025-01,4737.35
2025-02,2309.87
2025-03,3569.83
2025-04,5763.17
2025-05,2527.92
2025-06,2333.85
2025-07,4366.56
2025-08,6083.04
2025-09,11395.8
2025-10,7965.22
2025-11,2076.99
2025-12,4644.14
